timestamp,status,level,description,detail
2025-12-01 20:46:23,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-01 20:53:29,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-01 22:50:17,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 11:04:42,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 11:36:53,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 12:44:46,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 13:51:11,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 14:41:05,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 14:53:16,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 15:58:43,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 16:39:32,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 16:50:35,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 16:57:13,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 17:58:56,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 18:50:06,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 18:59:54,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 19:49:56,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 19:57:56,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 20:34:16,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 20:46:38,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 20:53:16,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-02 22:50:49,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-03 12:43:52,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-03 13:48:05,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-03 14:01:42,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-03 14:43:10,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-03 14:53:01,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-03 15:56:50,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
2025-12-03 16:39:10,True,Lv2,やや混雑しています,"現在の状況

メンテナンス中

under maintenance

【混雑状況目安人数】
es空いてます       : 0人一14人
ゃやや混雑しています : 15人一24人
e混雑しています    ・25人-ン29人                                          ウ
"
